Query: 浙江大学紫金港校区海洋大楼南侧浙江大学建筑工程学院A楼(南大门), Truth: 紫金港路隧道东200米浙江大学建筑工程学院A楼(南门), Distance: 19123
Query: 五福天星龙大厦对街美食城, Truth: 凤起东路358号五福天星龙大厦B座1楼天虹购物中心6楼美食广场, Distance: 983
Query: 14号大街世贸广场3栋菜鸟快递, Truth: 下沙街道14号大街世贸广场3栋楼下蜂巢智能柜菜鸟驿站(杭州世茂广场店), Distance: 17385
Query: 杭州市塘栖职业高级中学广济校区东北方塘栖阳光100嘉园4号楼, Truth: 临平区塘栖阳光100嘉园4号楼, Distance: 687
Query: 国货路北面女卫生间杭州解百A座F, Truth: 解放路211号解百新世纪商厦F4层女洗手间(解百新世纪商厦), Distance: 827
Query: 大爱海洋世界正北面白金海岸南区20栋, Truth: 秋涛路白金海岸南区20幢, Distance: 463
Query: 18号大南街侧洛神科技有限司公北东门, Truth: 18号大街18-大街1065号附近杭州洛神科技有限公司(东北门), Distance: 18241
Query: 河东路和文晖路交叉口中国工商银行自助服务区(浙江分行营业部本级地铁西湖文化广场站), Truth: 文晖路326号中国工商银行离行式自助服务区(浙江分行营业部本级地铁西湖文化广场站), Distance: 968
Query: 荆长路西边博雅城活体验中心, Truth: 北大资源博雅城文一西路荆长大道交叉口博雅城体验中心, Distance: 868
Query: 杭州富芯半导体有限公司东北角徐家墩区块搬迁老年人安置公寓, Truth: 王家宕路灵桥镇人民政府南侧约90米永丰村羊家埭徐家墩区块搬迁老年人安置公寓, Distance: 28942
Query: 临平第五小学总校区东南侧胡桥家园128幢, Truth: 东湖红旗社区振兴东路湖桥家园胡桥家园128号楼, Distance: 93750
Query: 凤竹街北侧紫竹人家14栋, Truth: 余杭区紫竹人家14号楼, Distance: 427
Query: 望城南边良港东西大道玉都枫景名苑2-6号楼, Truth: 良港东西大道玉都枫景名苑2幢6号楼玉都枫景名苑6幢, Distance: 707
Query: 岳王路西侧平海公寓2栋, Truth: 岳王路22号平海公寓2幢908室杭州柚子民宿公寓(平海路岳王路口店), Distance: 8473
Query: 塘康路西侧小区64幢, Truth: 崇贤枢纽与G2501杭州绕城高速交叉口西南100米向塘小区64号楼, Distance: 916
Query: 墩池路南侧自在成东苑停车场, Truth: 通济路与金蓬街交叉口东南200米自在城东苑停车场, Distance: 800
Query: 大关路东南侧董家弄小区19幢, Truth: 董家弄19号董家弄小区19号楼, Distance: 594
Query: 蓝宝石广场附近杭州野生动物世界-孔雀园林, Truth: 受降镇杭富路九龙大道1号杭州野生动物世界内杭州野生动物世界-孔雀园, Distance: 20088
Query: 储运路与棕榈路交叉口东南方向200米逸盛盲人推拿, Truth: 逸盛路27号二楼(豪雨酒店二楼)盲人推拿(逸盛路), Distance: 16217
Query: 候潮路-3金都华府3号˹楼, Truth: 候潮路金都华府3栋, Distance: 515
Query: 千长线与707县道交叉口附近环保能源公司, Truth: 金峰乡千岛湖风景区光大环保能源(淳安)有限公司, Distance: 810
Query: 六和公园东南侧贺田上城17号, Truth: 六和路365号贺田尚城17幢, Distance: 676
Query: 滨江二路和通城高架路东南方体育技术学院乒兵馆, Truth: 高教园区顺坝路浙江体育职业技术学院内浙江体育职业技术学院乒兵球馆, Distance: 314
Query: 锦良路附近华章名苑1幢, Truth: 临平新城世纪大道与望梅路交叉口华章名苑1幢华章名苑1幢, Distance: 827
Query: 18号大街1065号, Truth: 18号大街18-大街1065号附近杭州洛神科技有限公司(东北门), Distance: 14841
Query: 金昌路铭雅苑-东区内小区47-24, Truth: 池华街与金昌路交叉口东150米铭雅苑·东区47-24, Distance: 786
Query: 钱潮花园南边私家花园公寓(飞雪街分店), Truth: 飞雪街(雅戈尔·西溪晴雪西区)杭州西湖断桥边黄龙体育中心支付宝旁私家花园公寓(飞雪街分店), Distance: 26755
Query: 学苑春晓农贸市场附近米线餐馆分店, Truth: 翠苑街道学院路229号学苑春晓农贸市场2F营06草帽小子过桥米线(学苑春晓农贸市场店), Distance: 11273
Query: 凤起路南边6层女厕所(龙̆翔服饰城), Truth: 延安路298号龙翔服饰城6F层女洗手间(龙翔服饰城), Distance: 24128
Query: 解放东路与之江路交叉路口西北走260米中信银行杭州分行钱江新城新大楼停车点, Truth: 钱江新城香樟街迪凯银座东南100米中信银行杭州分行钱江新城新大楼停车场, Distance: 24244
Query: 龙井路76号, Truth: 龙井路76号浙江省西湖少年科学院, Distance: 21821
Query: 中诸葛路与香积寺东路交叉口旁边儒之堂足道, Truth: 香积寺路60号万华国际酒店2楼儒之堂足道理疗会所(万华国际酒店店), Distance: 322
Query: 杭钢南苑正北方向杭钢北67幢, Truth: 半山路(杭钢北苑社区)杭钢北苑67幢, Distance: 27908
Query: 三思培训学校(雍泽府店)附近绘智雍泽, Truth: 彭埠街道园兴路招商雍泽府底商3幢8号绘智(雍泽府校区), Distance: 972
Query: 沈塘桥弄12号中学(西北门), Truth: 沈塘桥弄12号杭州市文晖中学(西北门), Distance: 705
Query: 清江路256号东边城市管理局停车场(出入口), Truth: 清江路与秋石快速路入口交叉口南50米杭州市上城区城市管理局汽车场(东北门), Distance: 971
Query: 莫干山路东和睦村43幢, Truth: 莫干山路630号和睦新村43号楼, Distance: 303
Query: 创景路东边天峻公寓12幢, Truth: 章太炎故居西南300米天峻公寓合景天峻·公寓12幢, Distance: 13573
Query: 树人街8号树人大学南校区5幢, Truth: 树人街8号浙江树人大学南校区5幢浙江树人大学南校区5幢, Distance: 978
Query: 湖墅南路与潮王路西北方向花园潮王路, Truth: 莫干山路214号浅水湾城市花园(潮王路), Distance: 223
Query: 龙游路68号凤苑(西北门), Truth: 龙游路68号附近龙凤苑(西北门), Distance: 888
Query: 和旺街以南仁良花苑小区13号楼, Truth: 余杭区仁良花苑13栋, Distance: 17916
Query: 双眼井巷与新华路交叉口南面的横燕子弄6幢边的公共厕所, Truth: 横燕子弄6幢边公共厕所(横燕子弄), Distance: 1121
Query: 丽水路东边紫荆公园地下停车场, Truth: 丽水路与大浒街交叉口东南150米紫荆公园-停车场, Distance: 716
Query: 津东路自东向西走到18号大街交叉口后往西走100米左右英格斯模具制造(中国)有限公司(北门), Truth: 18号大街385英格斯模具制造(中国)有限公司(北门), Distance: 3308
Query: 学源街北面浙传新闻与传播学院, Truth: 学源街998浙江传媒学院浙江传媒学院新闻与传播学院, Distance: 5880
Query: 金家渡北路南侧职业技术学院人文学院, Truth: 莫干山路1515号浙江交通职业技术学院人文学院, Distance: 436
Query: 古墩路6号天目山医院(不孕不育科), Truth: 古墩路6号杭州天目山医院(不孕不育科), Distance: 670
Query: 和睦院西北方向派出所, Truth: 和睦新村48幢157和睦派出所, Distance: 793
Query: 行李托*运对面叭叭充电(财0政局充电点), Truth: 星光街865号递递叭叭汽车充电站(余杭区财政局充电站), Distance: 377
Query: 寡山兜西北方向杭州众深玻璃企业, Truth: 杭州市余杭区仓前街道吴山前村1幢杭州众深玻璃有限公司, Distance: 29664
Query: 沈家路和长浜路交叉口以求西司公是, Truth: 沈家路108号星火公寓3号楼杭州求是医院有限公司, Distance: 2533
Query: 伟业路向东滨江太阳国际游泳馆, Truth: 伟业路730号太阳国际公寓会所1层太阳国际恒温游泳馆, Distance: 703
Query: 申悦国际东侧充电站, Truth: 古墩路671号申悦国际B2层停车场云快充申悦国际充电站, Distance: 728
Query: 依山路南面东北1大门, Truth: 龙山路与依山路交叉口西南方向140米绿城西子·田园牧歌麓云苑(东北1门), Distance: 802
Query: 机场路与路辅新风路交叉口东南向方150米明桂北苑东北门门口, Truth: 明桂北苑(新风路南)明桂北苑(东北门), Distance: 36101
Query: 浙江天蓝南面香悦奥府博悦花艺店铺, Truth: 兴议路香悦奥府商业一体中心博悦花艺, Distance: 592
Query: 市心南路东中国建设银行24小时自助银行(新世纪广场支行), Truth: 人民路111号中国建设银行24小时自助银行(萧山新世纪广场支行), Distance: 17116
Query: 五常港路以南融创河滨1号楼, Truth: 五常港路融创·河滨之城水澜轩1幢融创河滨之城1期1号楼, Distance: 104
Query: 储运路南方瑞人堂(逸盛路分店), Truth: 农副产品物流中心逸盛路141-145号瑞人堂健康药房(逸盛路店), Distance: 716
Query: 北沙西路北杭州湾装饰18幢, Truth: 北沙西路浙江杭州湾建材装饰城杭州湾建材装饰城18幢, Distance: 178
Query: 21号大街600海外创业西2, Truth: 21号大街600浙江省海外留学人员创业园下沙(西2门), Distance: 370
Query: 广场三号路东元华旺座中心地下停车(出口), Truth: 凤起东路419号附近元华旺座中心地下停车场(出口), Distance: 46837
Query: 文星路20号小区34幢, Truth: 三墩街新星小区新星小区34幢, Distance: 14485
Query: 依江路东南方向国网汽车充电站, Truth: 江滨西大道(文化中心北面停车场)国家电网汽车充电站(浙江省杭州市富阳区行政服务中心充电站), Distance: 837
Query: 运河村会馆附近金德路固特异轮胎, Truth: 金恒德汽配城A区固特异轮胎, Distance: 734
Query: 海达南路与金沙大道交叉口附近上沙锦湖家园20号楼, Truth: 上沙路1225号上沙锦湖家园20幢(金沙大道与上沙路交叉口)上沙锦湖家园20号楼, Distance: 517
Query: 湖墅南路28号, Truth: 湖墅南路28号街电(杭州JW万豪酒店), Distance: 788
Query: 石祥路71-8号产业园9号楼, Truth: 石祥路71-8号杭州经纬国际创意产业园9号楼, Distance: 126
Query: 余杭塘路北仓溢东ù苑物业服务所, Truth: 景兴路与余杭塘路交叉路口往北约100米(仓溢东苑)仓溢东苑物业服务中心, Distance: 767
Query: 丰庆路西侧都市水乡·水映苑15栋, Truth: 三敦路都市水乡·水映苑15幢, Distance: 980
Query: 黄姑山横路68号黄姑山联合工会, Truth: 黄姑山横路68号翠苑街道黄姑山社区联合工会, Distance: 299
Query: 未来社区ｎ对面吉鸿东区和景地下停车场(出口处), Truth: 里鸿巷26号吉鸿家园东区和景苑停车场(出口), Distance: 641
Query: 学源街南侧浙江经贸职业技术学院篮球场地, Truth: 学源街南150米浙江经贸职业技术学院篮球场, Distance: 52469
Query: 天虹街南博世家电生活馆(新时代店), Truth: 古墩路808号新时代家居生活广场3楼F座12号博世家电生活馆(新时代生活家居广场店), Distance: 632
Query: 亿丰家居市场旁蔚蓝郡雅苑沙县美食, Truth: 蔚蓝郡雅苑6幢2沙县美食, Distance: 23013
Query: 机场路东南侧医学检验中心, Truth: 机场路与机场路一巷交叉口东南150米南京军区医学检验质量控制中心, Distance: 143232
Query: 浙江天赞(杭州)律师事务所附近浙商财富大楼栋东(门), Truth: 古墩路83号浙商财富中心4号楼(东门), Distance: 976
Query: 秋水苑西侧秋水苑校区北门, Truth: 爱莲街57号附近省府路小学秋水苑校区(北门), Distance: 560
Query: 延安路530号银泰百货A馆一楼coach(武林银泰百货店), Truth: 延安路530号银泰百货A馆1层coach(武林银泰百货店), Distance: 10637
Query: 新丝路西枣李家苑67号, Truth: 东湖枣李家园(新丝路西)枣李家园67号楼, Distance: 677
Query: 千岛湖洲际度假酒店内千岛湖洲际度假酒店大堂, Truth: 千岛湖风景区千岛湖镇羡山半岛万向路千岛湖洲际度假酒店内L层千岛湖洲际度假酒店大堂吧, Distance: 63
Query: 钱王街1010号附近警察局东南侧门, Truth: 钱王街1010号附近杭州市公安局临安区分局(东南门), Distance: 330
Query: 严村里路南蔚蓝郡雅苑沙县美食, Truth: 蔚蓝郡雅苑6幢2沙县美食, Distance: 912
Query: 家友超市西南处嵊州小吃枫树路店铺, Truth: 枫树路128号嵊州小吃(枫树路店), Distance: 837
Query: 世茂宸天边南浙江大学华家池校区(西北门), Truth: 华池东路与华池中路交叉口西南150米浙江大学华家池校区干训楼(西北门), Distance: 33964
Query: 天城路以东铜锅鱼中心店, Truth: 东宁路与天城路交汇处恒祺商务中心五幢底商5室淳渔爸铜锅鱼(恒祺商务中心店), Distance: 107
Query: 江南大道南侧地铁E口建业路, Truth: 6号线建业路地铁站E口, Distance: 273
Query: 瓜沥镇联兴小学东南面赛峰电子机械制造有限公司(坎山路), Truth: 瓜沥镇坎山工业园坎山路236号杭州赛峰电子机械制造有限公司(坎山路), Distance: 3587
Query: 浙江中医药大学实训楼边中医药大学站A, Truth: 4号线;6号线中医药大学地铁站A口, Distance: 806
Query: 剧院路358-396号迈斯新能源汽车充电占, Truth: 剧院路358-396号开迈斯新能源汽车充电站(开迈斯充电站杭州市宏程国际大厦交直流站), Distance: 9597
Query: 杭州城东医院南边陕西马三扯面馆(地铁东城广场店), Truth: 九沙大道399号地铁东城广场5层陕西马三扯面(地铁东城广场店), Distance: 22076
Query: 隐秀路侧融信万科古翠隐秀营销中心, Truth: 隐秀路庆云居东南侧约220米融信万科古翠隐秀销售中心, Distance: 826
Query: 梅婷农副产品水果市场东南方向仓溢东苑物业服务所, Truth: 景兴路与余杭塘路交叉路口往北约100米(仓溢东苑)仓溢东苑物业服务中心, Distance: 23557
Query: 丰盈路东面丰瑞南苑文明路3门, Truth: 文明路867号丰瑞南苑(西南3门), Distance: 212
Query: 兴元路南依威能源充电站(康宁和府), Truth: 塘栖镇兴盛路259号依威能源汽车充电站(康宁和府), Distance: 5035
Query: 文晖苑小区楼下工商银行, Truth: 文晖路326号中国工商银行离行式自助服务区(浙江分行营业部本级地铁西湖文化广场站), Distance: 781
Query: 杭州市上城区人民医院北边笕桥农业银行支行, Truth: 机场路248号中国农业银行(笕桥支行), Distance: 305
Query: 金地威新中心旁边望江君亭酒店-健身, Truth: 望江稠银大厦5楼千越君亭酒店-健身房, Distance: 10231
Query: 花城名苑西区北面名苑6栋, Truth: 萧山区新盈名苑6幢, Distance: 21325
Query: 欢中路与场环路交叉口西南50米(西南大门, Truth: 场环路与欢乐大道交叉口南100米天星苑(西南门), Distance: 356
Query: 翁乔路西边怡丰住宅区(东南门), Truth: 翁乔路怡丰城(东南门), Distance: 14180
Query: 余杭区车管所附近杭州市余杭区分局瓶窑服务中心, Truth: 杭州市公安局余杭区分局瓶窑综合服务中心, Distance: 443
Query: 庆春路与新华路交叉口偏东北布丁酒店, Truth: 庆春路66号东清大厦裙房写字楼2层布丁酒店(杭州西湖浙一庆春店), Distance: 715
Query: 新港村832号全季酒店, Truth: 瓜沥镇新港村832号全季酒店(杭州萧山机场店), Distance: 27808
Query: 益泰街与5号大街东南方向精呕荣寓(被门), Truth: 益泰街精欧荣寓(北门), Distance: 16901
Query: 院学路东向学院路212号大院北门, Truth: 学院路216号附近学院路212号大院(北门), Distance: 781
Query: 余杭塘路南面西城纪北门, Truth: 余杭塘路417号中天·西城纪(北门), Distance: 459
Query: 马溪路与武肃街较差路口西北方向公安局交通警察队, Truth: 马溪路667号临安区公安局交通警察大队, Distance: 860
Query: 萧然西路东边绿都·嘉华公馆停库车(出入口), Truth: 南秀路北50米绿都·嘉华公馆停车场(出入口), Distance: 9948
Query: 杭州希港酒店对面上郡-19, Truth: 三墩镇竞舟北路三坝雅苑东北二门上郡公寓商19号楼, Distance: 930
Query: 复兴路与浦玉路交叉口东北170米小区南区东南2大门, Truth: 兰巷17附近白塔人家南区(东南2门), Distance: 3035
Query: 良渚街道勾庄博园路2号幼儿园分园东(南门), Truth: 良渚镇勾庄博园路2号余杭区勾庄中心幼儿园肇和分园(东南门), Distance: 77547
Query: 恒大路与德胜东路交叉口西北40米恒大国际建材家居博览中心停车场出入口, Truth: 东德立交与恒大路交叉口西50米恒大国际建材家居博览中心停车场(出入口), Distance: 579
Query: 新安公园东南方向光德1幢, Truth: 新康路58-1号广德小区1幢, Distance: 714
Query: 祥富路129号澜小学, Truth: 祥富路129号星澜小学, Distance: 7831
Query: 浦沿路往西国家级中药学实验教学示范点, Truth: 滨文路与警严路交叉口北200米国家级中药学实验教学示范中心, Distance: 24946
Query: 艾）斯博格公寓西侧耀圣·南钻金座大楼, Truth: 通惠中路252号南钻金座, Distance: 435
Query: 广业街偏北国电汽车充电站, Truth: 广业街国家电网汽车充电站(浙江省杭州市西湖区芦荡公园交流充电站), Distance: 37843
Query: 康私府风味私房菜北面200米皋亭山礼堂公共厕所, Truth: 皋城村文化礼堂边,金门槛30号边公共厕所(皋亭山文化礼堂), Distance: 14850
Query: 临平邱山大街696号碧天家园百果园PAGODA, Truth: 临平邱山大街696号百果园PAGODA(碧天家园店), Distance: 18648
Query: 南秀路与高桥路交叉口东北角150米2号楼, Truth: 高桥路与南秀路交叉路口往北约100米泰和花园牡丹苑南区2号楼, Distance: 548
Query: 汀城街和汀雨路交叉口西北侧良熟新苑小区11栋, Truth: 赞成首府(世纪大道西南110米)良熟新苑11幢, Distance: 890
Query: 大姐大便利店东北方向马鞍山雅苑36栋1单元, Truth: 文一西路2228金星村马鞍山雅苑36栋1单元, Distance: 1065
Query: 纺织工业园区旁边浙恒江逸石化伍号仓库, Truth: 纺织工业园区(成虎路南)浙江恒逸石化有限公司伍号仓库, Distance: 49241
Query: 知音路西侧音乐学院, Truth: 知音路浙江音乐学院浙江音乐学院人文楼, Distance: 66
Query: 申花路北边吴越汇影院足道SPA店(浙大紫金港店), Truth: 紫荆花北路188号吴越汇影院足道SPA旗舰店(浙大紫金港店), Distance: 8075
Query: 沈家苑小区旁边求是亿元公司, Truth: 沈家路108号星火公寓3号楼杭州求是医院有限公司, Distance: 27315
Query: 河庄路北侧萧山农商(河庄支行), Truth: 河庄街道河庄路1057号钱塘农商银行(河庄支行), Distance: 331
Query: 滨盛路4398号钱江苑, Truth: 滨盛路4396号钱江·彩虹城, Distance: 482
Query: 三姐健康蒸面附近百脑汇科技大厦地下停车库, Truth: 教工路23号百脑汇科技大厦百脑汇科技大厦地下停车场, Distance: 614
Query: 浦玉路西侧杭州盐业配运中心, Truth: 复兴街40-42号杭州市盐业配送中心, Distance: 623
Query: 湖墅W路28号J�W万豪酒店街电, Truth: 湖墅南路28号街电(杭州JW万豪酒店), Distance: 494
Query: 秋悦路东南向金星5, Truth: 秋悦路466、466-1号金星桃源居东苑5幢金星桃源居东区5幢, Distance: 992
Query: 宁泰路和振宁路交叉口大鲫大鲤·户外振宁店, Truth: 振宁路535-537号大鲫大鲤钓具·户外(振宁店), Distance: 9528
Query: 湘湖口隔腔壁三江社区浦东发展银行, Truth: 时代大道3909号上海浦东发展银行(三江社区支行), Distance: 568
Query: 5号大街西侧和达(东大门), Truth: 2号大街与5号大街交叉口和达城F1和达城(东门), Distance: 18615
Query: 中河中路198号小营绿都(西门), Truth: 中河中路198号绿都大厦(西门), Distance: 11693
Query: 同协路和大农港路交叉口西北方向制造股份有限公司, Truth: 丁兰街道大农港路1216号杭州锅炉集团股份有限公司工会委员会, Distance: 345
Query: 清江路与秋涛路交叉路口西350米杭州九天国际服饰城大潘服饰商行, Truth: 高地工业区东湖南路573号一期三楼杭州九天国际服装城大潘服饰商行, Distance: 186
Query: 望江家园西园北面杭州婺江路农产品市场, Truth: 沙地路17号杭州婺江路农贸市场, Distance: 141079
Query: 育才路西面如家快捷酒店长途汽车总f站店8612室, Truth: 萧绍路981号如家快捷酒店(杭州萧山萧绍路长途汽车总站店)F6层86128612(如家快捷酒店杭州萧山萧绍路长途汽车总站店), Distance: 24347
Query: 江南体育中心对面实验学校7, Truth: 滨和路958号杭州江南实验学校7幢, Distance: 640
Query: 裕都大楼东面医院(不孕不育科), Truth: 古墩路6号杭州天目山医院(不孕不育科), Distance: 9781
Query: 利星名品广场里面广场男厕所, Truth: 中山南路77号利星名品广场F1利星名品广场-男洗手间, Distance: 871
Query: 紫之隧道和紫金港路交叉口西北方向富源幼儿园东南门, Truth: 紫金港路东200米浙江省级机关府苑幼儿园(东南门), Distance: 507
Query: Champion(西溪印象城店)南面I Do, Truth: 五常大道1号西溪印象城L1层I Do首饰(杭州西溪印象城购物中心店), Distance: 45
Query: 德胜众禄与机场路交叉路口东北200米草庄景墅小区17号楼, Truth: 机场路南100米草庄景墅17号楼, Distance: 342
Query: 天虹街南侧古墩路与天虹街家居生活广场西北停车位(出入口), Truth: 古墩路808号新时代国际家居生活广场顾客地上停车场一(出入口), Distance: 4401
Query: 万泰城1F层万泰城出口, Truth: 望江东路332号万泰城1F层万泰城(出入口), Distance: 1026
Query: 朝阳西路与保健路交叉口东南50米新华书店(文化广场, Truth: 临平街道临平木桥浜路112号文化广场新华书店(文化广场店), Distance: 971
Query: 春晖花苑西面绅世14, Truth: 临平绅世郡(藕花洲大街西段南)绅世郡园14幢, Distance: 2142
Query: 华媒维翰幼儿园附近人社综合性服务窗口(拱墅区行政服务中心), Truth: 绍兴路555号一号楼1F人社综合服务窗口(拱墅区行政服务中心), Distance: 28856
Query: 普德路和福临街交叉路附近电信普福, Truth: 彭埠镇普德路28号中国电信(普福店), Distance: 524
Query: 老宇航西城时代家园南门时代嘉园(南1门), Truth: 老余杭西城时代家园南门(禹航路)西城时代家园(南1门), Distance: 794
Query: 万科·名城博园西北角勾庄幼儿园肇和分园东南侧门, Truth: 良渚镇勾庄博园路2号余杭区勾庄中心幼儿园肇和分园(东南门), Distance: 30397
Query: 16号大姐朝南电子北门, Truth: 下沙开发区23大街9号乐金电子(杭州)有限公司(北门), Distance: 967
Query: 杭州市凤凰小学钱江校区附近停车场秋涛南苑西北, Truth: 秋涛路与秋石高架出口交叉口东南200米停车场(秋涛南苑西北), Distance: 601
Query: 通广路和新康路交叉口家园4幢, Truth: 永丰家园4栋永丰家园4幢, Distance: 325
Query: 祥符北街附近祥符新村1门, Truth: 三墩路11号附近祥符新村(西北1门), Distance: 34560
Query: 六和路365号和田上城17号, Truth: 六和路365号贺田尚城17幢, Distance: 868
Query: 文一西路北边二区8幢, Truth: 文一西路122号南都花园二区8幢南都花园二区8幢, Distance: 787
Query: 创e家连锁酒店(杭州西溪湿地店)周围浙江公路技师学院技术检测中心, Truth: 西溪路681号浙江公路技师学院试验检测中心, Distance: 25251
Query: 连连大厦西北方创业智慧(东南门), Truth: 越达巷北50米创业智慧大厦(东南门), Distance: 4268
Query: 佬人鱼海南20米杭州馨雅居酒店式公寓, Truth: 下沙海达南路与金沙大道交叉口金沙湖滟澜星座2幢30楼杭州金沙湖馨雅居酒店式公寓, Distance: 732
Query: 东新路东侧影城售票处, Truth: 东新街道东新路822号银泰城中大店F7层海上明珠国际影城售票处(银泰城), Distance: 18943
Query: 诚业路偏西弥鹿x大熊白营地(滨江店), Truth: 诚业路415号(江南岸艺术园区102号,华美达酒店西侧)弥鹿餐厅·大白熊营地(滨江店), Distance: 34
Query: 风情小镇对面皋共公亭厕所, Truth: 皋城村文化礼堂边,金门槛30号边公共厕所(皋亭山文化礼堂), Distance: 14826
Query: 滨浦路东边西南大门, Truth: 冠山路与滨浦路交叉口东南200米钱塘福苑(西南门), Distance: 698
Query: 观澜路与闻涛路交叉口西200米停车处, Truth: 观澜路与闻涛路交叉口西南200米杭州奥体博览城停车场, Distance: 510
Query: 新益村3组西被虐中国燃气, Truth: 钱塘新区义府大街329号义蓬第一初级中学对面中国燃气(义蓬营业厅), Distance: 926
Query: 兴盛路259号依威能源充电站(康宁和府), Truth: 塘栖镇兴盛路259号依威能源汽车充电站(康宁和府), Distance: 5734
Query: 河庄知行幼儿园旁边蜀南149号, Truth: 江东大道与123县道交叉口西南200米蜀南小区149号, Distance: 912
Query: 美政路与之江路交叉路口西北210米复兴南苑4号楼, Truth: 美政路4号复兴南苑4幢复兴南苑4栋, Distance: 857
Query: 江桥路西侧金街时代购物广场, Truth: 钱王街409号金街时代广场, Distance: 590
Query: 丹枫路到江陵路交叉口附近武警杭州医院妇科中心, Truth: 西兴街道武警浙江总队杭州医院妇科中心, Distance: 953
Query: 杭州市紫荆花学校角北西雅仕小区(西门), Truth: 文一西路149雅仕苑雅仕苑(西门), Distance: 412
Query: 石祥西南侧蓝田2舍紫金港校区, Truth: 紫金港路隧道浙江大学紫金港校区蓝田2舍, Distance: 751
Query: 中控科技园南边第二中学南大门, Truth: 东信大道76号浙江省杭州第二中学(南门), Distance: 852
Query: 萧山瓜沥文化体育中心西南面汇金广场-7幢, Truth: 萧山区汇锦名店广场7幢, Distance: 554
Query: 武林广场21号城北停车场, Truth: 米市巷街道武林广场21号杭州大厦购物城北区D座杭州大厦购物城北停车场, Distance: 573
Query: 浙江工商大学钱江湾生活园区内工商学生公寓42号楼, Truth: 浙江工商大学下沙高教园区学正街18号浙江工商大学钱江湾生活园区学生公寓42号楼, Distance: 933
Query: 听澜越府对街汇澜(东3门), Truth: 千帆路汇澜公寓(东3门), Distance: 911
Query: 文冠巷与古墩路交叉口西面关苑6号, Truth: 三墩镇余杭塘路冠苑北门冠苑6幢, Distance: 618
Query: 凤起路以北社坛苑11, Truth: 杨广才弄24号社坛苑11幢社坛苑11号楼, Distance: 223
Query: 六味鱼馆附近鲜丰水果超市, Truth: 九华2号6幢1楼106室鲜丰水果超市(西子联合店), Distance: 779
Query: 市心南路398号, Truth: 市心南路398号萧山区文化旅游体育发展服务中心南停车场, Distance: 10282
Query: 园尚街与古墩路交叉口东北220米滨江紫金府6栋, Truth: 紫金府6幢滨江紫金府6号楼, Distance: 31369
Query: 美宜佳便利店(城发天地店附近汽车技工学校(西南门, Truth: 莫干山路558号杭州汽车高级技工学校(西南门), Distance: 16647
Query: 杭州市临平区社区学院南边桂花城丹桂苑3号楼, Truth: 南苑龙湖路临平桂花城北区临平桂花城丹桂苑3号楼, Distance: 467
Query: 都市港湾正北方向国家电网汽车充电站, Truth: 东湖街道东湖北路天荷路口世纪公园停车场国家电网汽车充电站(世纪公园充电站), Distance: 871
Query: 金渡家北路与莫干山路交叉口西南260米大学人文学院, Truth: 莫干山路1515号浙江交通职业技术学院人文学院, Distance: 7346
Query: 萧棉路南杭发厂站台B2口, Truth: 2号线杭发厂地铁站B2口, Distance: 857
Query: 10号大街与25号大街交叉路口西北方向制药公司南侧门, Truth: 10号路东168号浙江惠松制药有限公司(南门), Distance: 436
Query: 从上沙路与海达南路交叉口西南方向255米左右到上沙锦湖k家园西1门, Truth: 海达南路714号附近上沙锦湖家园(西1门), Distance: 40066
Query: 春和景明院旁边公园家(东南门), Truth: 横潭路与石镜街交叉口西南方向90米公园家北区(东南门), Distance: 855
Query: 博园路1号电子商行, Truth: 博园路1号杭州电子市场-明励电子商行, Distance: 126
Query: 安埠街和东狮路交叉路的西北方向之江家园5区7幢, Truth: 之江家园五区7之江家园5区7号楼, Distance: 675
Query: 农科院社区东南角农业科学院宿舍, Truth: 农业科学院农科院社区浙江省农业科学院温室宿舍, Distance: 7111
Query: 新市街北边朝晖街道老人之家(新市街), Truth: 新市街158号附近朝晖街道老人公寓(新市街), Distance: 13620
Query: 雷霆路与望江东路辅路交叉点中豪小区地下停车场(出口), Truth: 望江东路332号中豪·望江国际中豪·望江国际地下停车场(出入口), Distance: 371
Query: 九环路与士安路交叉口附近戴斯尔艺术学校(九堡校区), Truth: 九堡街道,九环路48号,财通大厦A座二楼戴斯尔国际舞蹈艺术学校(九堡校区), Distance: 785
Query: 西溪悦城南亚朵宾馆(杭州未来科技城海创园店), Truth: 五常大道聚橙路与文一西路交叉口富力天贸广场26幢亚朵酒店(杭州未来科技城海创园店), Distance: 261
Query: 杭州西溪银泰城东区F3层木马国王银泰, Truth: 双龙街与崇仁路交叉口西北角杭州西溪银泰城东区F3层木马王国(杭州西溪银泰城东区), Distance: 140
Query: 依山路南面田园牧ü歌（东北1门）, Truth: 龙山路与依山路交叉口西南方向140米绿城西子·田园牧歌麓云苑(东北1门), Distance: 451
Query: 紫荆花北路与余杭塘路交叉口西北330米耀江文鼎苑16号楼, Truth: 余杭塘路口站耀江文鼎苑16幢耀江文鼎苑16幢, Distance: 640
Query: 文三西路401-531-32阳光花院32幢, Truth: 文三西路401-531号阳光花园32幢, Distance: 1194
Query: 广济路和西小河街交叉口西南方向塘栖阳光4号楼, Truth: 临平区塘栖阳光100嘉园4号楼, Distance: 898
Query: 和水路西侧科技学校充电停车, Truth: 和水路浙江科技学院小和山校区浙江科技学院充电桩停车场, Distance: 230
